username,business_category_name,follower_count,following_count,is_verified,is_private,highlight_reel_count,external_url,media_count,likes_average_count,comments_average_count
shuetingke,,257,440,False,False,1,,225,40.583333333333336,4.166666666666667
phixplore,,44800,1457,False,True,0,,442,0,0
dkorsten,,245,1276,False,False,0,http://davidkorsten.de/,297,34.333333333333336,2.1666666666666665
whitevanblacklab,Personal Goods & General Merchandise Stores,144,251,False,False,0,http://whitevanblacklab.com/,273,22.833333333333332,1.0
sg__images,Creators & Celebrities,1518,951,False,False,3,https://linktr.ee/sg__images,399,29.0,0.75
deb_fleming_photography,,97,192,False,False,0,,60,22.083333333333332,0.4166666666666667
bestluxryescapes,Creators & Celebrities,4895,1321,False,False,0,,7,119.28571428571429,10.714285714285714
martinaschiess_,,259,544,False,False,3,,647,38.083333333333336,1.8333333333333333
ericsrock,,816,1551,False,False,0,http://ericrockphotography.com/,722,65.91666666666667,2.25
szilveszter_nemeth_fishing,,1610,1733,False,False,2,,340,211.83333333333334,5.416666666666667
gb_works,Business & Utility Services,1544,4597,False,False,0,http://giammarcobianchini.com/,70,155.16666666666666,2.9166666666666665
mattia_meksa,Creators & Celebrities,7482,3365,False,False,20,https://youtu.be/iKP98kB4RXo,64,1056.25,47.0
hecbaphoto,,89,178,False,False,0,,195,14.833333333333334,0.6666666666666666
samu3l.4m013,,962,7406,False,True,0,,0,0,0
themohnnn,Creators & Celebrities,5093,509,False,False,2,https://mohnnn.com/,61,246.41666666666666,7.25
jtai.silenceretard,Creators & Celebrities,103,162,False,False,0,,28,60.083333333333336,3.9166666666666665
angus.yoink,,583,1156,False,True,0,,0,0,0
rushi_fotos,Creators & Celebrities,877,2097,False,False,0,,406,98.41666666666667,1.6666666666666667
coulmyphoto,,297,902,False,False,0,,127,40.583333333333336,1.0833333333333333
suganya.ramachandran,,146,152,False,False,0,,66,40.166666666666664,2.3333333333333335
ginann04,,629,2176,False,True,0,,242,0,0
lensesandspaces_gram,Creators & Celebrities,705,2300,False,False,2,https://m.facebook.com/lensesandspacesphotography/,63,216.08333333333334,9.333333333333334
am_eye_7,Creators & Celebrities,179,1910,False,False,0,,12,73.0,3.6666666666666665
00paisagem00,,14,187,False,False,0,,1,42.0,0.0
stephen.rw,Creators & Celebrities,216,298,False,False,0,,184,35.0,0.9166666666666666
iris_lobia,,76,379,False,True,0,,11,0,0
collective_edit,,6118,1669,False,False,0,,93,500.0,11.833333333333334
hecthor.gladius,,465,1453,False,False,0,,100,77.66666666666667,2.0833333333333335
mat_c1,,41,58,False,False,0,,60,7.666666666666667,1.6666666666666667
tchiiile,Creators & Celebrities,26,6,False,False,0,,0,0,0
zch.w,,332,354,False,True,0,,1,0,0
summer_of_steve,,73,199,False,True,0,,727,0,0
chicoladj,Creators & Celebrities,11158,1311,False,False,4,,545,252.66666666666666,11.0
ablayend,,619,839,False,False,1,,100,87.66666666666667,3.0
0410.kj,,369,448,False,True,0,,284,0,0
srolocnu,Personal Goods & General Merchandise Stores,127,325,False,False,0,http://www.uncolors.bigcartel.com/,2,52.5,3.5
